Gene	p.value	Region	CGG.STRs
RNA28SN3-5	0.0502	ncRNA	chr21:8399068, chr21:8400399, chr21:8400136
PRR12	0.0505	Gene Body	chr19:49601634, chr19:49591241, chr19:49595096
ZNF565 -> LOC100134317	0.0509	Intergenic	chr19:36286672, chr19:36291745, chr19:36289210, chr19:36257566, chr19:36266528, chr19:36268950, chr19:36284141, chr19:36281602, chr19:36294273, chr19:36299331, chr19:36301866, chr19:36309435, chr19:36273972, chr19:36276515, chr19:36279068, chr19:36271473, chr19:36296796, chr19:36306911, chr19:36304396
ZBTB4	0.0547	Gene Body	chr17:7479597, chr17:7479690
CARM1	0.0548	Gene Body	chr19:10871705, chr19:10871667, chr19:10871564, chr19:10871487
SOX3	0.0563	Gene Body	chrX:140504181, chrX:140504318, chrX:140503989, chrX:140504072
XYLT1	0.0574	Gene Body	chr16:17470908
ZNF267 -> LOC102723753	0.059	Intergenic	chr16:31981967, chr16:32085527, chr16:32116090
HOXA13	0.0594	Gene Body	chr7:27199680, chr7:27199463, chr7:27199828, chr7:27199881, chr7:27199929
TTYH3	0.0648	Gene Body	chr7:2631929
ADNP-AS1	0.0663	ncRNA	chr20:50931120, chr20:50931313, chr20:50931032
YY1	0.0669	Gene Body	chr14:100238596, chr14:100239720, chr14:100239824, chr14:100238848, chr14:100239074, chr14:100239422, chr14:100240056
RNA28SN2	0.067	ncRNA	chr21:8214735, chr21:8216034, chr21:8217101, chr21:8217364
SOX1-OT	0.0676	ncRNA	chr13:112066839, chr13:112066653, chr13:111976368, chr13:112062936
CAMK2B	0.0678	Gene Body	chr7:44325663
ZNF865	0.0682	Gene Body	chr19:55615133, chr19:55614524, chr19:55613812
ZBTB2	0.0731	Gene Body	chr6:151391492, chr6:151391171, chr6:151391764, chr6:151390924, chr6:151391558
SOX21	0.0734	Gene Body	chr13:94711403, chr13:94711392, chr13:94711613, chr13:94711553
HMGB3	0.0807	Gene Body	chrX:150983399, chrX:150984044, chrX:150984362, chrX:150984525
ACTR3BP2	0.0873	Intergenic	chr2:92073090, chr2:92042830
SMIM10L2B	0.0927	Gene Body	chrX:135098594, chrX:135098378
SPPL3	0.093	Gene Body	chr12:120823228, chr12:120904106, chr12:120904285, chr12:120904249, chr12:120903911, chr12:120904148
SEMA5A -> SNHG18	0.096	Gene Body	chr5:9546179
