Comparison	diff	lwr	upr	p.adj
CGG:downstream-CAG:downstream	-0.309090909081745	-8.51089238846395	7.89271057030046	1
GAA:downstream-CAG:downstream	3.29877425944774	-0.395999454342802	6.99354797323828	0.161217815333423
GAA:downstream-CGG:downstream	3.60786516852948	-4.58923317296993	11.8049635100289	0.996496115144899
CGG:exonic-CAG:exonic	-0.0639552240803303	-0.962099445493168	0.834188997332508	1
GAA:exonic-CAG:exonic	-0.976305409990118	-2.11988751911405	0.167276699133817	0.230989682583304
GAA:exonic-CGG:exonic	-0.912350185909788	-2.04754616230977	0.222845790490198	0.345559072880895
CGG:intergenic-CAG:intergenic	1.34124452354872	0.161936842784899	2.52055220431255	0.00787875028593643
GAA:intergenic-CAG:intergenic	2.65218824573171	2.2015537269795	3.10282276448392	0
GAA:intergenic-CGG:intergenic	1.31094372218299	0.158037526742798	2.46384991762318	0.00790638977216185
CGG:intronic-CAG:intronic	0.844417928539729	-0.0679412999516242	1.75677715703108	0.115955833362955
GAA:intronic-CAG:intronic	1.74376307851509	1.23072332898021	2.25680282804998	0
GAA:intronic-CGG:intronic	0.899345149975364	0.0123786390569189	1.78631166089381	0.0421440542009289
CGG:ncRNA-CAG:ncRNA	0.737167057862562	-0.901154692374306	2.37548880809943	0.9952459419165
GAA:ncRNA-CAG:ncRNA	1.75380317798156	0.560315726207199	2.94729062975592	2.42546994831949e-05
GAA:ncRNA-CGG:ncRNA	1.016636120119	-0.540144091071315	2.57341633130931	0.767106307089983
CGG:upstream-CAG:upstream	0.98688892051511	-1.74005420299761	3.71383204402783	0.999826125808184
GAA:upstream-CAG:upstream	3.21716801173868	-0.439228498312696	6.87356452179005	0.182376415071969
GAA:upstream-CGG:upstream	2.23027909122357	-0.58987357368826	5.0504317561354	0.379118013219426
CGG:UTR3-CAG:UTR3	0.610450563203549	-3.96986769481786	5.19076882122495	1
GAA:UTR3-CAG:UTR3	0.605744680850584	-2.43622492659284	3.64771428829401	0.999999998069794
GAA:UTR3-CGG:UTR3	-0.00470588235296532	-4.8839269108865	4.87451514618057	1
CGG:UTR5-CAG:UTR5	-0.335142204538677	-2.17552410858606	1.50523969950871	0.999999999706457
GAA:UTR5-CAG:UTR5	-0.899557913351134	-5.79109393393609	3.99197810723382	0.999999999638275
GAA:UTR5-CGG:UTR5	-0.564415708812457	-5.15992590810704	4.03109449048212	1
